titel,artiest,jaar,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,id
How 'Bout Us,Champaign,1981,1131.0,1212.0,1594.0,1563.0,1450.0,1565.0,1610.0,1360.0,1658.0,1511.0,,1929.0,,,,,,,,,59S5BGYP3tzYd7dccspVdx
It's Over,Roy Orbison,1964,1132.0,1271.0,1230.0,1389.0,921.0,1189.0,1380.0,1219.0,1430.0,1238.0,1718.0,1661.0,1899.0,,,,,,,,3HZMEIZY9Z6GdhPaG5bAK2
Are You Ready,Pacific Gas & Electric,1970,1133.0,1652.0,1707.0,1672.0,1344.0,1300.0,1958.0,,,1998.0,1775.0,1962.0,,,,,,,,,0XCrt6OreaQ6X0hfpfnFvK
Reflections,Diana Ross & The Supremes,1967,1134.0,,1656.0,1590.0,1896.0,1944.0,1998.0,1988.0,,1976.0,,,,,,,,,,1760.0,4yChgYDVcQrAgIEIErW27b
You Don't Have To Say You Love Me,Dusty Springfield,1966,1135.0,980.0,1017.0,1460.0,1674.0,1291.0,1401.0,1135.0,1014.0,1192.0,1475.0,1221.0,1337.0,,1829.0,,,,,,0q8nQ0H4ad4KYcZdrTZPux
Ring Of Fire,Johnny Cash,1963,1136.0,,1058.0,1103.0,682.0,555.0,658.0,325.0,386.0,451.0,269.0,228.0,199.0,195.0,199.0,258.0,246.0,293.0,319.0,251.0,6YffUZJ2R06kyxyK6onezL
The Things We Do For Love,10CC,1976,1137.0,,914.0,1066.0,1267.0,852.0,1134.0,1262.0,953.0,1069.0,1262.0,,1348.0,,,,,,,,6KEWtSOGKpIXGw6l1uJgsR
You've Made Me So Very Happy,Blood Sweat & Tears,1969,1138.0,,1143.0,1674.0,1703.0,1532.0,1658.0,1609.0,1584.0,1603.0,,1893.0,,,,,,,,,76OUhpuAQSQ2orR5TUeeRc
Reflections Of My Life,The Marmalade,1970,1139.0,1464.0,1197.0,1299.0,1595.0,1403.0,1706.0,1578.0,1974.0,1620.0,,,,,,,,,,,2DASj6MN2XNsc2bttRBRbq
Something's Gotta Hold Of My Heart,Gene Pitney,1968,1140.0,,1262.0,1357.0,1518.0,1627.0,1788.0,1454.0,1690.0,1587.0,1681.0,1607.0,1527.0,,,,,,,,
Monica,Circus Custers,1987,1141.0,,1398.0,1509.0,1500.0,1573.0,1648.0,1818.0,1740.0,1663.0,1887.0,,,,,,,,,,0GRr8aYWzA6ZRHz2iq0Rwz
Sail Along Silvery Moon,Billy Vaughn,1958,1142.0,1046.0,1452.0,1805.0,1707.0,1902.0,1941.0,,1967.0,1962.0,,,,,,,,,,,0WAUtPUO7OvV98bqktHgj6
Smooth Operator,Sade,1984,1143.0,1043.0,1008.0,1093.0,947.0,1155.0,1269.0,1261.0,1678.0,1270.0,950.0,863.0,888.0,935.0,1031.0,715.0,811.0,837.0,753.0,993.0,3XEtw7t4V5sfd2vtkp0ql7
This Melody,Julien Clerc,1976,1144.0,,1498.0,1158.0,1321.0,1245.0,723.0,755.0,1171.0,951.0,1314.0,1520.0,1372.0,1752.0,1639.0,1804.0,,1891.0,,,0EPux2ELVyf2jxtpXGf3KH
"Yes Sir, I Can Boogie",Baccara,1977,1145.0,743.0,1235.0,1413.0,1572.0,1417.0,1881.0,,1795.0,1861.0,,,,,,,,,,,76709jfVPvKWp7ChPQjCk7
Wonderful Land,Shadows,1962,1146.0,1236.0,1490.0,1285.0,1194.0,1207.0,1337.0,1465.0,1531.0,1371.0,1304.0,1639.0,1990.0,1892.0,,,,,,,7yrAJDi3c35byX8HdtBSJM
Never Let Her Slip Away,Andrew Gold,1978,1147.0,1114.0,743.0,730.0,1430.0,1471.0,1292.0,1571.0,1533.0,1395.0,,1966.0,,,,,,,,,4jV4ld7z4BrswF3uKqz8Ny
Beep Beep Love,Gruppo Sportivo,1977,1148.0,,1287.0,1377.0,,,1861.0,1734.0,,,1724.0,1865.0,,1968.0,,,,,,,31W6LGVV6sSQQZQIXJVIbV
Hot Shot,Karen Young,1978,1149.0,1380.0,,1838.0,1724.0,1828.0,,,,,,,,,,,,,,,7d8DvrdW2u2QIpx5NpM6es
Easy,Commodores,1978,1150.0,,996.0,1574.0,1324.0,1284.0,1667.0,1543.0,1782.0,1549.0,1742.0,1497.0,1608.0,1431.0,1857.0,,,,,,1JQ6Xm1JrvHfvAqhl5pwaA
Een Wonderkind Van 50,Boudewijn de Groot,1996,1151.0,708.0,864.0,779.0,599.0,692.0,495.0,672.0,859.0,658.0,1389.0,1569.0,1655.0,1624.0,1791.0,,,,,,5LOi5aNebf3ovGmuaakZ3s
It's Five O' Clock,Aphrodite's Child,1970,1152.0,,873.0,978.0,608.0,1076.0,1157.0,1214.0,972.0,1004.0,1561.0,1474.0,1879.0,,,,,,,,0EtgpSBNFbPZCQkaD9m1P4
Busje Komt Zo,Höllenboer,1995,1153.0,,,,,,,,,,,,,,,,,,,,
If I Had Words,Scott Fitzgerald & Yvonne Keeley,1977,1154.0,1266.0,1639.0,1844.0,1548.0,1984.0,1865.0,,,,,,,,,,,,,,0K3t9IZRGxuZw3SoedSRO8
Il Silenzio,Nini Rosso,1965,1155.0,,,,,,,,,,,,,,,,,,,,4wlSpF2uWIShMAmSVDgeZ7
Chanson D'amour,Manhattan Transfer,1976,1156.0,,1933.0,1242.0,1977.0,,,,,,,,,,,,,,,,477ZS8JpUEMuitVoJJmtcI
Demasiado Corazon,Mink DeVille,1984,1157.0,,1615.0,1138.0,1433.0,1753.0,1053.0,1061.0,1488.0,1303.0,1020.0,1104.0,1253.0,1315.0,1497.0,1564.0,1900.0,,,,62df56oXNdwFGzmJ4pE1pI
Disco Inferno,Trammps,1977,1158.0,1096.0,944.0,816.0,1310.0,1109.0,1452.0,802.0,1122.0,1023.0,904.0,867.0,1073.0,862.0,710.0,892.0,1029.0,1032.0,1114.0,1228.0,22ff60cZy4APp7bzESHLR8
How Can I Be Sure,David Cassidy,1972,1159.0,,,1680.0,1837.0,1653.0,1567.0,1525.0,1839.0,1677.0,1947.0,,,,,,,,,,3cmb7mFWij3I2hKfGSRE3z
'n Vriend,André Hazes,1980,1160.0,,1062.0,,1106.0,879.0,1150.0,1661.0,1125.0,1249.0,,1903.0,1935.0,848.0,1637.0,1850.0,,1948.0,1804.0,1443.0,4hFWBYulMwVRo2KZ8VFbbg
Feels Like Heaven,Fiction Factory,1984,1161.0,1255.0,1268.0,1725.0,1609.0,1866.0,1892.0,,,,,,,,,,,,,,3bkcq1VrFlcoqa04VBs4J8
Heel Even,Shirley Zwerus,1981,1162.0,,,1895.0,1727.0,1942.0,1875.0,,,,,,,,,,,,,,
Does Your Mother Know,ABBA,1979,1163.0,882.0,1027.0,1051.0,1020.0,1069.0,825.0,1193.0,850.0,961.0,1128.0,981.0,1141.0,1089.0,1410.0,1262.0,1168.0,759.0,737.0,602.0,45EaIq9lKyoQxxTjFkiGbl
Ik Zou Wel Eens Willen Weten...,Jules De Corte,1955,1164.0,1558.0,1844.0,1898.0,1335.0,,,,,,,,,,,,,,,,66nz9RkXyBYHStQMboeVo3
Caravan Of Love,The Housemartins,1987,1165.0,1088.0,1624.0,1325.0,1416.0,1701.0,,,,,,,,,,,,,,,123URSmNmP6XHXr02TfKJN
I Don't Want To Talk About It,Rod Stewart,1977,1166.0,,1427.0,1712.0,1715.0,1561.0,1655.0,1557.0,1973.0,1668.0,1575.0,1528.0,1753.0,1809.0,1773.0,1642.0,1634.0,1935.0,1864.0,,2JWKzkQbYsNzx019WyGzaH
Love Shine A Light,Katrina & The Waves,1997,1167.0,,1700.0,1920.0,1662.0,1971.0,,1959.0,,,,,,,,,,,,,0WdBh2BQOq9U7PMk6sWzMz
Pick Up The Pieces,Average White Band,1975,1168.0,,1388.0,1458.0,1726.0,1568.0,,,,,,,,,,,,,,,2x1LQq8lsUzAA2wNj8yjC9
Secret Garden,Bruce Springsteen,1995,1169.0,,828.0,979.0,981.0,1170.0,1244.0,1309.0,1164.0,1182.0,1781.0,1713.0,1643.0,1676.0,1233.0,1625.0,1411.0,1637.0,1921.0,1973.0,68uuz61IqrSJjO6ffO3yHc
Soul Man,Sam & Dave,1967,1170.0,1743.0,1763.0,,1517.0,1723.0,1686.0,,,,1567.0,1494.0,1423.0,1422.0,1742.0,1535.0,1980.0,1577.0,1996.0,,4eGHlplaq1ME8oetnTuFFf
Kon Ik Maar Even Bij Je Zijn,Gordon,1991,1171.0,,,1942.0,1484.0,1644.0,1837.0,1523.0,,1873.0,,,,,,,,,,,0CnWJx8wEg3i2aS0QOIkJF
Lovin' Whiskey,Rory Block,1988,1172.0,,1818.0,1447.0,1831.0,1818.0,1700.0,1491.0,1930.0,1689.0,1956.0,1910.0,1723.0,1873.0,,,,,,,5537Y4aYjibeVdTSX3w7y2
Nightshift,Commodores,1985,1173.0,919.0,688.0,1124.0,1144.0,1053.0,1492.0,1652.0,1464.0,1351.0,1712.0,1654.0,1689.0,,,,,,,,23IK8TF2MSiLnuEjaYPfVV
Oye Como Va,Santana,1971,1174.0,1283.0,1247.0,1416.0,1644.0,1413.0,1437.0,1569.0,1691.0,1536.0,1306.0,1280.0,1510.0,1605.0,1709.0,1632.0,1917.0,1496.0,1809.0,,5u6y4u5EgDv0peILf60H5t
Sailing Home,Piet Veerman,1987,1175.0,1468.0,1847.0,,1163.0,661.0,1061.0,1196.0,1288.0,1132.0,,1853.0,,1846.0,1907.0,1849.0,,,,,3Oc0vUKoPE5hJurlDEYLsQ
Verdammt Ich Lieb' Dich,Matthias Reim,1990,1176.0,1477.0,1278.0,1156.0,888.0,1320.0,1330.0,1143.0,1720.0,1279.0,1301.0,1271.0,1383.0,1222.0,1282.0,1359.0,1282.0,1483.0,1425.0,1279.0,1Z8qnEyqB4mAVgl8BIJYD0
You're My Heart You're My Soul,Modern Talking,1985,1177.0,1478.0,1576.0,1790.0,1692.0,1860.0,,1851.0,,,,,,,,,,,,,0Zn63G0XTiqXwr1KSmARWz
Reason To Believe,Rod Stewart,1971,1178.0,1186.0,1211.0,905.0,1089.0,1430.0,1253.0,1343.0,1378.0,1291.0,1381.0,1445.0,1706.0,1897.0,1938.0,1971.0,1994.0,,,,3rGuoVKM5CwEo7eHyeXYIB
Silence Is Golden,The Tremeloes,1967,1179.0,1577.0,1640.0,1580.0,1567.0,1743.0,1619.0,1469.0,1415.0,1521.0,,,,,,,,,,,0tY6WuVkmCth6YHl8xKrew
Summer Is Over,Dusty Springfield,1965,1180.0,836.0,1084.0,908.0,789.0,1185.0,1027.0,1051.0,1077.0,1019.0,1125.0,999.0,1282.0,1660.0,1602.0,1785.0,1934.0,,,,5IwskqtjhYkQQ1XZn5Dfal
That Day,Golden Earring,1966,1181.0,1193.0,1697.0,1504.0,1758.0,1886.0,1744.0,1754.0,,1912.0,,,,,,,,,,,16e3pGjtm03cOSCYvZXGXm
True Love,Grace Kelly & Bing Crosby,1957,1182.0,,1890.0,1842.0,1660.0,1951.0,,,,,,,,,,,,,,,6JeVQV1C9ORG2XUUzvtysh
Veerpont,Drs. P,1973,1183.0,,1392.0,1570.0,,1599.0,,1689.0,1670.0,1849.0,,,,,,,,,,,22imNKod370C6XhEAlaCrU
Wheels,Billy Vaughn,1961,1184.0,1234.0,1736.0,1569.0,1669.0,,,,,,,,,,,,,,,,4AFiPm2lpASzrpHAFFyzhC
Always On My Mind,Willie Nelson,1984,1185.0,,1430.0,1835.0,1388.0,1482.0,1421.0,1098.0,1146.0,1260.0,1386.0,936.0,993.0,723.0,949.0,1185.0,1285.0,1314.0,1358.0,1521.0,2xYQTU2bbg6WVAmpY1eae4
You're A Lady,Peter Skellern,1972,1186.0,,1622.0,1681.0,1743.0,1973.0,1701.0,1864.0,,1940.0,,,,,,,,,,,19Wyf4hfbRKUO1svgHOxLC
Oh! Carol,Neil Sedaka,1960,1187.0,1732.0,1994.0,1894.0,1065.0,,,1886.0,1988.0,1924.0,,,,,,,,,,,5zvOXJrzzUlvXwyuwZ0toZ
Unforgettable,Nat 'King' Cole,1951,1188.0,1404.0,1555.0,1490.0,1068.0,1469.0,1814.0,1435.0,1572.0,1468.0,1612.0,1800.0,1483.0,1970.0,,,,,,,648TTtYB0bH0P8Hfy0FmkL
Mother,John Lennon,1971,1189.0,1513.0,1328.0,1675.0,1584.0,1540.0,1657.0,1704.0,,1851.0,,1914.0,,,,,,,,,43Ud1IajwtBvw6ONj6aK2Q
Keep On Running,The Spencer Davis Group,1966,1190.0,1177.0,1545.0,1539.0,1748.0,1509.0,1760.0,1933.0,1993.0,1738.0,,,,,,,,,,,0XXzChE5NEs2BHosMxeIe3
"Ob La Di, Ob La Da",Beatles,1969,1191.0,,1288.0,1514.0,1541.0,1510.0,1327.0,1649.0,1713.0,1574.0,1544.0,1513.0,1617.0,1537.0,1622.0,,,,,,1gFNm7cXfG1vSMcxPpSxec
I Shot The Sheriff,Eric Clapton,1974,1192.0,1327.0,1664.0,1496.0,1869.0,1434.0,1899.0,1819.0,1676.0,1679.0,,1836.0,1864.0,,1898.0,,,,,,0UOxp1BpnD8uPQMKU4wKjz
Eight Days A Week,Beatles,1965,1193.0,854.0,1341.0,1168.0,1256.0,1260.0,1234.0,1142.0,920.0,1098.0,1180.0,1320.0,1166.0,1231.0,1553.0,,1877.0,1768.0,1895.0,1913.0,1Dg4dFJr3HW7sbA7vPejre
Fly Too High,Janis Ian,1979,1194.0,,1568.0,1406.0,1745.0,1632.0,1907.0,1582.0,,1875.0,,,,,,,,,,,5dkrQCGm5MszVzSrc7oWPw
Friday On My Mind,The Easybeats,1966,1195.0,1433.0,1139.0,1060.0,968.0,1058.0,1438.0,1312.0,1560.0,1280.0,1403.0,1479.0,1889.0,1982.0,1775.0,,,,,,2CT08rpgdut8qQs7IAzMGi
Marrakesh Express,"Crosby, Stills & Nash",1969,1196.0,1337.0,1275.0,1421.0,1814.0,1372.0,1371.0,1865.0,1731.0,1619.0,1637.0,1511.0,1803.0,,,,,,,,6lPbvFOOpN4pltOqJp7ddN
Russian Spy & I,Hunters,1966,1197.0,1189.0,1473.0,1355.0,1552.0,1656.0,1944.0,1914.0,,1908.0,,,,,,,,,,,3W51ncwwj4GWWRbQLK24ts
Baby Makes Her Blue Jeans Talk,Dr. Hook,1982,1198.0,,1136.0,1582.0,1464.0,1462.0,1490.0,1614.0,1791.0,1595.0,1934.0,1859.0,,,,,,,,,6nwgJTvWLXvzAK0cjFP8OR
Best Of Both Worlds,Robert Palmer,1978,1199.0,,1483.0,1148.0,1081.0,1118.0,1463.0,1353.0,1771.0,1394.0,1401.0,1543.0,1657.0,1799.0,1708.0,1882.0,,,,,5A5yHwpaMfXp3BhSERxtHD
Big City,Tol Hansse,1978,1200.0,1588.0,1429.0,1985.0,1649.0,1893.0,1883.0,1786.0,,1931.0,,,,,,,,,,,56htU1mClkxLnFvv8yvPNI
Had To Fall In Love,Moody Blues,1978,1201.0,1025.0,712.0,680.0,894.0,1104.0,1194.0,1091.0,1196.0,1063.0,1316.0,1291.0,1438.0,994.0,992.0,1123.0,1629.0,,,,3T7gFooBRI9cyFPFc7lFNx
Hey St. Peter,Flash & The Pan,1977,1202.0,828.0,1117.0,1140.0,852.0,1270.0,1332.0,1320.0,1612.0,1284.0,1548.0,1677.0,,,1838.0,1902.0,,,,,0LjtuCIQ9VNBnNgH1Wpe7S
Margootje,Wim Sonneveld,1965,1203.0,1619.0,1580.0,1962.0,,,,,,,,,,,,,,,,,1ZQjQH8GbigAaidh48Kyje
Manic Monday,Bangles,1986,1204.0,,1680.0,1878.0,,,,,,,,,,,,,,,,,00vYs0qZA40Z8AAaN7xmMO
I'm Sorry,Brenda Lee,1960,1205.0,,1469.0,1702.0,1210.0,1677.0,1782.0,1642.0,1469.0,1563.0,,,,,,,,,,,4LJcNiq2pBb8OeqrGdBJQw
Islands In The Stream,Dolly Parton & Kenny Rogers,1983,1206.0,1176.0,1119.0,853.0,1288.0,1294.0,990.0,1147.0,1020.0,1103.0,1547.0,1277.0,1269.0,1343.0,1360.0,1039.0,1083.0,1060.0,939.0,812.0,6dnco8haegnJYtylV26cBq
It's My Life,Animals,1965,1207.0,1139.0,1188.0,1554.0,1699.0,1359.0,1521.0,1739.0,1667.0,1591.0,,,,,,,,,,,7yGR8R1HgQJeW6s3KRuyGS
Love Of The Common People,Paul Young,1984,1208.0,787.0,829.0,1081.0,1091.0,1122.0,1469.0,1737.0,731.0,1107.0,1886.0,1780.0,,1975.0,1721.0,1666.0,1901.0,1832.0,1760.0,1992.0,6cARFkZxx2JR3JlvDzeLZc
Junge Komm Bald Wieder,Freddy Quinn,1963,1209.0,1614.0,,,,1610.0,1705.0,1422.0,1414.0,1686.0,,,,,,,,,,,4agMrs0Xv2x24I6jme8x8d
"Never, Never Gonna Give You Up",Barry White,1974,1210.0,,1396.0,,1802.0,1578.0,1632.0,1828.0,1688.0,1724.0,,,,,,,,,,,059fPu4PzOnxeyLFeP3D7P
Paperback Writer,Beatles,1966,1211.0,1517.0,1790.0,1671.0,1684.0,1383.0,1450.0,1529.0,1664.0,1548.0,1431.0,1655.0,1722.0,1771.0,1686.0,1962.0,1811.0,,,,0Ui8KPWZbJJQ2Y0CIQuVqX
Fooled Around And Fell In Love,Elvin Bishop,1976,1212.0,1208.0,1011.0,1419.0,1626.0,1990.0,1735.0,1907.0,,1918.0,,,,,,,,,,,2hE5Lm5XOHR4t3xlhIFauP
I Just Don't Know What To Do With Myself,Dusty Springfield,1964,1213.0,1137.0,1384.0,1781.0,1806.0,1863.0,1599.0,1492.0,1040.0,1414.0,1371.0,1289.0,1734.0,,,,,,,,4Pqzrs4o8839nRd3wcqvD0
Let's Dance,Cats,1972,1214.0,,1344.0,1863.0,1513.0,1708.0,1605.0,1534.0,1888.0,1646.0,1857.0,1796.0,,,,,,,,,10lp8wOTOXXwYBwYNIQjyc
James,Billy Joel,1976,1215.0,,1312.0,1228.0,,1783.0,1666.0,1998.0,1887.0,1811.0,1941.0,,,,,,,,,,4gej2mdVcBdUfdxcvhE8rO
Daddy Cool,Boney M,1976,1216.0,1369.0,1270.0,1907.0,,1541.0,1510.0,1999.0,1665.0,1769.0,,1783.0,1422.0,1403.0,1906.0,,,,,,3WMbD1OyfKuwWDWMNbPQ4g
Matrimony,Gilbert O'Sullivan,1972,1217.0,1278.0,493.0,1174.0,1537.0,1395.0,1433.0,1501.0,1807.0,1473.0,1902.0,1993.0,1890.0,,,,,,,,62g31XKqPNvSNoOb9VLUjy
Stop In The Name Of Love,The Supremes,1965,1218.0,1799.0,,1701.0,,,1895.0,,,,,,,,,,,,,,52FlwUMMDnTK8TGkCag9Jd
Wake Up Little Susie,The Everly Brothers,1958,1219.0,1582.0,,1868.0,1865.0,,,,,,,,,,,,,,,,11fNLqDB47gMKj7BHhR2Qr
"When The Going Gets Tough, The Tough Get Going",Billy Ocean,1986,1220.0,1154.0,1599.0,1837.0,,1546.0,,,,,,,,,,,,,,,0Hc1u4PmCGukAbEtdgltWF
Soldiers Who Want To Be Heroes,Rod Mckuen,1971,1221.0,1524.0,1652.0,1603.0,1522.0,1306.0,1352.0,1184.0,1630.0,1380.0,1921.0,1928.0,,,,,,,,,4Q7s6xVjvzgWo9H59lQ9B8
Stand By Your Man,Tammy Wynette,1975,1222.0,1525.0,1648.0,1816.0,,,1696.0,1841.0,1873.0,1919.0,,,,,,,,,,,6xatfNMI8NkY5XxRHAeiS4
That's The Way I Like It,KC & The Sunshine Band,1975,1223.0,1400.0,1360.0,2000.0,1940.0,1618.0,1911.0,1955.0,,1943.0,,2000.0,,,,,,,,,1qiQduM84A0VeH8Y2uAbqi
The Sweetest Taboo,Sade,1985,1224.0,,1572.0,,,1764.0,,,,,,1879.0,1970.0,,,1872.0,1974.0,1899.0,1800.0,,4KJzJxpqE5aR4zj8LiH652
W.O.L.D.,Harry Chapin,1974,1225.0,1231.0,1342.0,1308.0,1734.0,,1683.0,,,,,,,,,,,,,,5Q24kdGXyMwfYsGlg2HJ9k
When I Will See You Again,Three Degrees,1974,1226.0,1124.0,1222.0,,1347.0,1598.0,1771.0,1467.0,1438.0,1531.0,1759.0,1861.0,,,,,,,,,02srSkeu2pzybuVr2B9TJm
When You Are A King,White Plains,1971,1227.0,1125.0,844.0,1354.0,1259.0,1448.0,1318.0,1560.0,1593.0,1430.0,,,,,,,,,,,0DnFq17e6MViTCKpRk08fq
Zuiderzeeballade,Sylvain Poons & Oetze Verschoor ,1962,1228.0,,,1996.0,1134.0,,1855.0,,,,,,,,,,,,,,4wZsenaR4nJNG5CL5zXpyB
Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn & Tony Orlando,1973,1229.0,1806.0,1372.0,,,,,,,,,,,,,,,,,,12UzVR0M7asW2MHAZRJk0I
Wooly Bully,Sam the Sham,1965,1230.0,1357.0,1862.0,1477.0,1820.0,,,,,,,,,,,,,,,,2XkuSbp5say8nZW8g6156Z
Shangrila,Kinks,1969,1231.0,962.0,,,,,,,,,,,,,,,,,,,
Shine Silently,Nils Lofgren,1979,1232.0,,1128.0,1048.0,1404.0,1458.0,1774.0,1655.0,,1821.0,1978.0,1883.0,,,,,,,,,46tIHRMuDQkBiUUKV3IIOu
Tu Te Reconnaitras,Anne Marie David,1973,1233.0,,1359.0,1831.0,,,1730.0,,,,,,,,,,,,,,3682WlWtLmx44QNpB6Py4X
You Can't Hurry Love,The Supremes,1966,1234.0,1874.0,,,,,,,,,,,,,,,,,,,1OppEieGNdItZbE14gLBEv
Save The Last Dance For Me,The Drifters,1961,1235.0,1073.0,1662.0,,993.0,1146.0,1215.0,1275.0,1301.0,1256.0,,,,,,,,,,,391TUcoPonqYykPkSZ5Z9U
Sunny,Boney M,1977,1236.0,1293.0,1156.0,1784.0,1848.0,1977.0,,,,,,,,,,,,,,,3pf96IFggfQuT6Gafqx2rt
Seasons,Earth & Fire,1970,1237.0,1006.0,1067.0,1085.0,559.0,1050.0,1128.0,1215.0,1541.0,1116.0,1350.0,1321.0,1568.0,1775.0,1962.0,1697.0,1939.0,,1844.0,,4xR0HPOe0abZG0MZi8LYIv
While You See A Chance,Steve Winwood,1981,1238.0,1235.0,884.0,1123.0,1112.0,1213.0,1251.0,1392.0,1313.0,1248.0,1419.0,1352.0,1501.0,1327.0,1451.0,1570.0,1924.0,,,,4JAFyW6oZV6DIADeV619QG
I Feel Fine,Beatles,1965,1239.0,917.0,1292.0,1682.0,1327.0,1700.0,1669.0,1622.0,1578.0,1568.0,1701.0,1931.0,1853.0,,,,,,,,5hhF25sWnZvXhimOHLjTRE
"Ha Ha, Said The Clown",Manfred Mann,1967,1240.0,1666.0,1290.0,1491.0,1534.0,1880.0,1867.0,1791.0,,1909.0,1844.0,,,,,,,,,,20eGJri5Iy0n9tr2Mm4wOi
Ik Heb Genoeg Van Jou,ZZ en de Maskers,1965,1241.0,,1393.0,1546.0,1242.0,1231.0,1102.0,1432.0,1205.0,1276.0,,,,,,,,,,,4cHu5FO3Par7M6rX05gL6a
Last Dance,Donna Summer,1978,1242.0,1677.0,1378.0,1592.0,1566.0,1799.0,,1779.0,1822.0,1804.0,,,,1790.0,1902.0,1979.0,,,,,29RcVe2M9l8rHyWHffBmjf
L'été Indien (Africa),Joe Dassin,1975,1243.0,,1684.0,1584.0,1866.0,1804.0,1455.0,1455.0,,1840.0,,,,,,,,,,,01I1E3QvW34OMSBFMVyDuW
Listen To The Radio,Tom Robinson,1984,1244.0,,1716.0,1630.0,1991.0,,,,,,,,,,,,,,,,4fMOxvR5XWfNXXoJYlstkD
Ein Bisschen Frieden,Nicole,1982,1245.0,1598.0,,,,,,,,,,,,,,,,,,,75G6zxISPyxlvJerKubyyx
Forever Blue,Little River Band,1995,1246.0,984.0,854.0,890.0,1178.0,1238.0,1210.0,1379.0,1451.0,1274.0,1819.0,1601.0,1835.0,1973.0,1819.0,1864.0,,,,,0WKT8YOLZ5wYWj9qJhgbT4
The French song,Lucille Starr,1964,1247.0,1256.0,1759.0,1737.0,1691.0,1490.0,1245.0,1330.0,1613.0,1447.0,,,,,,,,,,,4HUKN6pphF8ES2G4qRSADr
Great Pretender,Platters,1957,1248.0,1135.0,1814.0,1758.0,1417.0,1631.0,1813.0,1621.0,1979.0,1690.0,,,,,,,,,,,2FkCjtQ1lYsf71s2FAS8hE
La Mer,Charles Trenet,1952,1249.0,,1400.0,1463.0,1386.0,1399.0,1342.0,1058.0,1404.0,1292.0,1498.0,1753.0,1772.0,1668.0,1888.0,1822.0,,,,,7sZSe99XSTu5KpYJEThvWr
Love And Pride,King,1985,1250.0,1681.0,1894.0,,1950.0,1917.0,,,,,,,,,,,,,,,2HrAvfx1IQcuGN2k6misBO
Death Of A Clown,Dave Davies,1967,1251.0,1249.0,1604.0,1572.0,1652.0,1543.0,1940.0,1752.0,1762.0,1683.0,,,,,,,,,,,71tHuwbbAnhEnbJiDHy5b6
I Just Died In Your Arms Tonight,Cutting Crew,1986,1252.0,1213.0,1674.0,1688.0,1967.0,1760.0,,,,,,,,,,,,,,,7qj6xAwWqgRs7u4hFZoEZP
Donna,Ritchie Valens,1958,1253.0,,1843.0,1897.0,1563.0,,1887.0,,1903.0,,,,,,,,,,,,0VE4ayVlGs5DBoqOdgJ0Zv
Here Comes The Night,Them,1965,1254.0,,1435.0,1197.0,879.0,1230.0,1219.0,1190.0,1365.0,1201.0,1449.0,1696.0,1747.0,,,,,,,,3OfttbJAJNvkI4VwtZD2E7
Running In The Family,Level 42,1987,1255.0,1526.0,963.0,1673.0,1860.0,,,,,,,,,,,,,,,,1pTqpcvO02DUSzdN85loMZ
Streetlife,The Crusaders & Randy Crawford,1979,1256.0,,1216.0,1469.0,1819.0,1693.0,1986.0,1776.0,1585.0,1693.0,,,,,,,,,,,
Mozart Symphony Nr 40,Waldo De Los Rios,1971,1257.0,1279.0,1578.0,1759.0,1826.0,,,1507.0,,,,,,,,,,,,,1DLgP3BMVJ15gdPcHgRDQm
New Frontier,Donald Fagen,1983,1258.0,,,,,1928.0,,,,,,,,,,,,,,,2HyrLPJTZ4qDpWJ6qnu0Ke
Play That Funky Music,Wild Cherry,1976,1259.0,1518.0,1433.0,1652.0,1575.0,1588.0,1802.0,1913.0,1814.0,1710.0,,1916.0,1985.0,1944.0,1790.0,1840.0,1999.0,1904.0,1886.0,,5uuJruktM9fMdN9Va0DUMl
Roll Over Beethoven,Electric Light Orchestra,1973,1260.0,1074.0,705.0,807.0,1080.0,1252.0,1196.0,1298.0,1639.0,1268.0,1423.0,1460.0,1729.0,,,,,,,,0eHUMhIkmOQJAkJhiHVD08
Spanish Stroll,Mink Deville,1977,1261.0,932.0,832.0,1072.0,841.0,624.0,752.0,759.0,913.0,767.0,736.0,868.0,979.0,990.0,1088.0,1193.0,1426.0,1391.0,1505.0,1707.0,6xMoOFdqr5PYifDZnnL3sx
Tell Me Your Plans,The Shirts,1978,1262.0,,1046.0,1239.0,1451.0,1279.0,1732.0,1817.0,,1833.0,1949.0,1681.0,1762.0,1691.0,1676.0,1969.0,,,,,413FYUr6Cj8O7HjtsL9VOm
Without Your Love,Roger Daltrey,1981,1263.0,1052.0,1182.0,1536.0,1273.0,1508.0,1255.0,1359.0,1875.0,1452.0,1647.0,1771.0,1960.0,,,,,,,,
The Girl Is Mine,Paul McCartney & Michael Jackson,1982,1264.0,,1692.0,1836.0,,1874.0,,,,,1253.0,,,1153.0,,,,,,,1diEQsD8PJC9hXB5Gpfgtn
"Poupée De Cire, Poupée De Son",France Gall,1965,1265.0,1458.0,1334.0,1668.0,1658.0,1658.0,1082.0,1383.0,1732.0,1479.0,,,,,,,,,,,7i4WaTC7Xp6SY49aCdcVia
