titel,artiest,jaar,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,title,artist,track_id,artist_id,album_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
When The Lady Smiles,Golden Earring,1984,43.0,52.0,84.0,89.0,98.0,96.0,81.0,111.0,165.0,109.0,136.0,135.0,138.0,177.0,146.0,161.0,161.0,115.0,119.0,142.0,118.0,When The Lady Smiles,Golden Earring,spotify:track:6RGmi17H0xpHb7hpMxFwip,spotify:artist:1iTlOqIrZy8DlvCPJY2sjS,spotify:album:3PKz1Tn3o3cKnIj1GzfFT3,0.438,0.704,0.816,0.00891,0.354,-7.121,0.0309,131.577,0.83,52.0
Niet Of Nooit Geweest,Acda & De Munnik,1998,44.0,40.0,48.0,36.0,74.0,87.0,94.0,150.0,108.0,93.0,272.0,243.0,254.0,447.0,542.0,479.0,435.0,486.0,550.0,667.0,684.0,Niet Of Nooit Geweest,Acda en de Munnik,spotify:track:4439gDsZasiXC4mGpw6yJc,spotify:artist:040Fqhc0l7a4MPeDx6cneh,spotify:album:3FN2HuiYuwTvIueH6LOmEg,0.381,0.478,0.506,0.0,0.166,-9.542,0.0356,122.174,0.509,53.0
Summer Of '69,Bryan Adams,1984,45.0,43.0,94.0,51.0,57.0,59.0,88.0,109.0,98.0,77.0,139.0,131.0,107.0,145.0,167.0,197.0,147.0,150.0,145.0,148.0,,Summer Of '69,Bryan Adams,spotify:track:0GONea6G2XdnHWjNZd6zt3,spotify:artist:3Z02hBLubJxuFJfhacLSDc,spotify:album:2o2G49EPi4lua5zgxUKhLL,0.0183,0.508,0.834,0.0,0.0732,-6.205,0.0386,139.131,0.774,79.0
Bright Eyes,Art Garfunkel,1979,46.0,51.0,53.0,100.0,137.0,120.0,154.0,222.0,140.0,136.0,347.0,223.0,281.0,455.0,470.0,631.0,596.0,624.0,612.0,698.0,699.0,Bright Eyes,Art Garfunkel,spotify:track:3Jy0dWV5AnnfyTvHK6UWof,spotify:artist:6kEsKkXuE4olX7m3mNLZkS,spotify:album:49XeWorlh4MXcslygZb0Kf,0.745,0.38,0.21,0.45,0.0829,-15.603,0.0319,112.51,0.207,56.0
The Rose,Bette Midler,1980,47.0,35.0,30.0,43.0,44.0,36.0,32.0,34.0,24.0,27.0,33.0,29.0,35.0,86.0,105.0,85.0,100.0,94.0,97.0,177.0,193.0,The Rose,Bette Midler,spotify:track:562JrM9b7jiu8LgzV62x3o,spotify:artist:13y0kncDD4J9wxCyfKr10W,spotify:album:6PXrZg7FMAGm1rnu6widwU,0.901,0.347,0.228,0.0,0.38,-9.667,0.0296,133.574,0.184,66.0
The River,Bruce Springsteen,1981,48.0,33.0,26.0,19.0,30.0,20.0,27.0,40.0,11.0,21.0,30.0,30.0,10.0,15.0,7.0,16.0,17.0,14.0,19.0,21.0,19.0,Hungry Heart,Bruce Springsteen,spotify:track:1KsI8NEeAna8ZIdojI3FiT,spotify:artist:3eqjTLE0HfPfh78zjh6TqT,spotify:album:6YNIEeDWqC09YIWzhoSVLg,0.0857,0.641,0.894,0.009,0.157,-7.41,0.0273,109.823,0.972,67.0
The Sound Of Silence,Simon & Garfunkel,1966,49.0,71.0,61.0,64.0,76.0,85.0,101.0,81.0,153.0,92.0,82.0,74.0,58.0,70.0,32.0,42.0,44.0,23.0,28.0,26.0,28.0,The Sound of Silence - Acoustic Version,Simon & Garfunkel,spotify:track:5y788ya4NvwhBznoDIcXwK,spotify:artist:70cRZdQywnSFp9pnc2WTCE,spotify:album:5pnJrocLlZ3FWEbcr2PTz0,0.837,0.525,0.216,0.0,0.107,-13.551,0.0301,106.761,0.328,73.0
Thank You For The Music,ABBA,1978,50.0,201.0,264.0,267.0,248.0,210.0,170.0,243.0,137.0,178.0,284.0,310.0,409.0,374.0,460.0,376.0,401.0,378.0,432.0,438.0,416.0,Thank You For The Music,ABBA,spotify:track:1HNWHQqLxjI2LXnlIY9DTR,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,spotify:album:5GwbPSgiTECzQiE6u7s0ZN,0.837,0.288,0.416,0.0,0.097,-9.176,0.0412,199.517,0.353,47.0
With Or Without You,U2,1987,51.0,26.0,52.0,35.0,40.0,38.0,47.0,48.0,48.0,46.0,62.0,62.0,86.0,53.0,47.0,45.0,56.0,59.0,41.0,52.0,55.0,With Or Without You - Remastered,U2,spotify:track:6ADSaE87h8Y3lccZlBJdXH,spotify:artist:51Blml2LZPmy7TTiAg47vQ,spotify:album:5y6wlw1LnqFnQFruMeiwGU,0.000202,0.54,0.429,0.355,0.141,-11.822,0.0285,110.171,0.113,78.0
Good Vibrations,The Beach Boys,1966,52.0,54.0,75.0,83.0,85.0,73.0,91.0,117.0,68.0,83.0,98.0,105.0,116.0,245.0,265.0,253.0,313.0,217.0,221.0,448.0,532.0,Good Vibrations - Remastered,The Beach Boys,spotify:track:5t9KYe0Fhd5cW6UYT4qP8f,spotify:artist:3oDbviiivRWhXwIE8hxkVV,spotify:album:37rNuexqEXWeSIOiJtn3A9,0.326,0.396,0.473,0.000124,0.109,-7.67,0.0345,133.449,0.385,69.0
