titel,artiest,jaar,id,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1679
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1720
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1740
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1750
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1809
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1852
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1864
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1894
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1964
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1965
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1966
Home On A Monday,Little River Band,1977,,1443,1106,1057,937,1358,1421,1473,1613,1987,1546,1829,1623,1952,1933,1984,1766,,,,,1988
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,51
"Si Tu Dois Partir, Va-T-En",Fairport Convention,1969,,1455,,1281,1864,,,,,,,,,,,,,,,,,84
